salaryId,employeeId,basic,allowance,deduction,gross,net,tax,month,year
SAL001,E001,49177,10017,4308,59194,52141.7,2744.3,Sep,2024
SAL002,E002,26995,8532,3802,35527,30138.75,1586.25,Jul,2024
SAL003,E003,41437,13478,4325,54915,48060.5,2529.5,Sep,2024
SAL004,E004,34839,7193,4226,42032,35915.7,1890.3,May,2024
SAL005,E005,25875,14995,3876,40870,35144.3,1849.7,Jun,2024
SAL006,E006,47002,9765,1846,56767,52174.95,2746.05,Feb,2024
SAL007,E007,24978,13945,4658,38923,32551.75,1713.25,Mar,2024
SAL008,E008,24807,9691,1085,34498,31742.35,1670.65,Mar,2024
SAL009,E009,27180,10268,3039,37448,32688.55,1720.45,Sep,2024
SAL010,E010,36930,11514,2960,48444,43209.8,2274.2,Dec,2024
SAL011,E011,30870,7890,3617,38760,33385.85,1757.15,Jan,2024
SAL012,E012,32926,5032,2195,37958,33974.85,1788.15,Feb,2024
SAL013,E013,42697,11053,4646,53750,46648.8,2455.2,May,2024
SAL014,E014,40693,10291,4235,50984,44411.55,2337.45,Nov,2024
SAL015,E015,26135,10799,3596,36934,31671.1,1666.9,Feb,2024
